phenomenon,test_item,original_condition,sentence_grammatical,sentence_ungrammatical
Anaphora,TS 1,grammatical,The new executive who oversaw the middle managers apparently doubted himself on most major decisions,The new executive who oversaw the middle managers apparently doubted themselves on most major decisions
Anaphora,TS 2,grammatical,The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing,The popular sheriff who campaigned for the incumbent politicians never prepared themselves for the new press briefing
Anaphora,TS 3,grammatical,The construction worker who argued with the shift leaders undeniably hurt himself on the construction site,The construction worker who argued with the shift leaders undeniably hurt themselves on the construction site
Anaphora,TS 4,grammatical,The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand,The young caddy who escorted the experienced golfers supposedly dirtied themselves by falling in the sand
Anaphora,TS 5,grammatical,The police officer who aided the brilliant detectives reportedly disguised himself to get more information,The police officer who aided the brilliant detectives reportedly disguised themselves to get more information
Anaphora,TS 6,ungrammatical,The football referee who argued with the large quarterbacks surprisingly excused himself from the important game,The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game
Anaphora,TS 7,ungrammatical,The somber minister who conversed with the religious scholars usually presented himself as very open-minded,The somber minister who conversed with the religious scholars usually presented themselves as very open-minded
Anaphora,TS 8,ungrammatical,The serious general who advised the new corporals seemingly committed himself to the training regimen,The serious general who advised the new corporals seemingly committed themselves to the training regimen
Anaphora,TS 9,ungrammatical,The paranoid foreman who supervised the coal miners presumably saved himself after the awful cave-in,The paranoid foreman who supervised the coal miners presumably saved themselves after the awful cave-in
Anaphora,TS 10,ungrammatical,The grimy blacksmith who worked for the royal knights evidently hurt himself with the sharp tools,The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools
Center Embedding,TS 1,grammatical,The ancient manuscript that the grad student who the new card catalog had confused a great deal was studying in the library was missing a page,The ancient manuscript that the grad student who the new card catalog had confused a great deal was missing a page
Center Embedding,TS 2,grammatical,The lullaby that the famous country singer who the record label had signed to a big contract was singing yesterday was written seventy years ago,The lullaby that the famous country singer who the record label had signed to a big contract was written seventy years ago
Center Embedding,TS 3,grammatical,The game that the child who the lawnmower had startled in the yard was playing in the morning lasted for hours,The game that the child who the lawnmower had startled in the yard lasted for hours
Center Embedding,TS 4,grammatical,The crime that the gangster who the story had profiled had planned for weeks was quickly solved,The crime that the gangster who the story had profiled was quickly solved
Center Embedding,TS 5,grammatical,The picture that the artist who the school had expelled for cheating was hurriedly copying was printed in a magazine,The picture that the artist who the school had expelled for cheating was hurriedly copying was printed in a magazine
Center Embedding,TS 6,ungrammatical,The trophy that the athlete who the restaurant had hired as a spokesman cherished was stolen later,The trophy that the athlete who the restaurant had hired as a spokesman was stolen later
Center Embedding,TS 7,ungrammatical,The apartment that the maid who the service had sent over cleaned was well decorated,The apartment that the maid who the service had sent over was well decorated
Center Embedding,TS 8,ungrammatical,The shirt that the seamstress who the immigration officer had investigated last week wore needed to be dry cleaned,The shirt that the seamstress who the immigration officer had investigated last week needed to be dry cleaned
Center Embedding,TS 9,ungrammatical,The lecture that the professor who the newspaper story had just profiled in detail delivered was not well attended,The lecture that the professor who the newspaper story had just profiled in detail was not well attended
Center Embedding,TS 10,ungrammatical,The novel that the horror author who the publishing company had recently fired wrote last year was banned by the local library,The novel that the horror author who the publishing company had recently fired was banned by the local library
Comparative Sentences,TS 1,grammatical,More gym instructors won a marathon yesterday than lawyers did,More gym instructors won a marathon yesterday than Nikhil did
Comparative Sentences,TS 2,grammatical,More Americans began law school this week than Canadians did,More Americans began law school this week than Jason did
Comparative Sentences,TS 3,grammatical,This month more one-year-olds took their first steps than 10-month-olds did,This month more one-year-olds took their first steps than Marie's daughter did
Comparative Sentences,TS 4,grammatical,Today more Brazilians immigrated to Japan than Chileans did,Today more Brazilians immigrated to Japan than Wolfgang did
Comparative Sentences,TS 5,grammatical,More 18-year-olds voted in this election than 40-year-olds did,More 18-year-olds voted in this election than he did
Comparative Sentences,TS 6,ungrammatical,More photographers won their third Pulitzer this year than the writers did,More photographers won their third Pulitzer this year than the professor did
Comparative Sentences,TS 7,ungrammatical,More girls graduated from high school last year than boys did,More girls graduated from high school last year than John did
Comparative Sentences,TS 8,ungrammatical,This semester more foreign applicants got into Stanford than Americans did,This semester more foreign applicants got into Stanford than Marie did
Comparative Sentences,TS 9,ungrammatical,More boys got an A on the exam yesterday than the girls did,More boys got an A on the exam yesterday than she did
Comparative Sentences,TS 10,ungrammatical,Last month more couples had their second child than single parents did,Last month more couples had their second child than Sandra's sister did
Intrusive Resumption,TS 1,grammatical,This is the boy that the cop who was leading the operation beat up,This is the boy that the cop who was leading the operation beat him up
Intrusive Resumption,TS 2,grammatical,This is the girl that the child who was playing with the doll loved,This is the girl that the child who was playing with the doll loved her
